Product_id:  Product_name:  Product_model:  From:   To:  Quantity: Month:   Week:  Year:
43       TV            M6            Mymensingh      Bogra   93      January   Week1   2007
134       RAM            M6            Bogra      Bogra   118      January   Week1   2007
72       Watch            M7            Mymensingh      Bogra   112      January   Week2   2007
91       Watch            M3            Bogra      Bogra   77      January   Week2   2007
103       Car            M8            Bogra      Bogra   43      January   Week2   2007
140       Car            M9            Jessore      Bogra   93      January   Week2   2007
146       Fan            M9            Rangpur      Bogra   38      January   Week2   2007
119       Mobile            M9            Rangpur      Bogra   94      January   Week2   2007
194       Car            M6            Rangpur      Bogra   23      January   Week2   2007
157       RAM            M8            Bogra      Bogra   66      January   Week2   2007
99       Fan            M7            Jessore      Bogra   35      January   Week2   2007
164       Mobile            M4            Jessore      Bogra   48      January   Week2   2007
101       Freeze            M6            Barisal      Bogra   43      January   Week3   2007
54       Computer            M9            Chittagong      Bogra   99      January   Week3   2007
82       CPU            M9            Dhaka      Bogra   115      January   Week3   2007
112       CPU            M0            Khulna      Bogra   87      January   Week3   2007
107       RAM            M3            Chittagong      Bogra   113      January   Week3   2007
111       Car            M0            Sylhet      Bogra   25      January   Week3   2007
42       RAM            M5            Mymensingh      Bogra   90      January   Week3   2007
118       RAM            M9            Dhaka      Bogra   63      January   Week3   2007
164       Mobile            M4            Chittagong      Bogra   114      January   Week3   2007
62       CPU            M1            Dhaka      Bogra   48      January   Week3   2007
189       Fan            M8            Rajshahi      Bogra   75      January   Week4   2007
57       Freeze            M4            Mymensingh      Bogra   95      January   Week4   2007
92       Watch            M1            Dhaka      Bogra   66      January   Week4   2007
19       CPU            M8            Rangpur      Bogra   108      January   Week4   2007
134       RAM            M6            Chittagong      Bogra   91      January   Week4   2007
182       CPU            M2            Jessore      Bogra   44      January   Week4   2007
91       Watch            M3            Sylhet      Bogra   57      January   Week4   2007
149       RAM            M1            Rajshahi      Bogra   113      January   Week4   2007
189       Fan            M8            Barisal      Bogra   63      January   Week4   2007
120       Watch            M9            Rangpur      Bogra   103      January   Week4   2007
74       Car            M7            Bogra      Bogra   74      January   Week1   2007
36       Motor            M8            Chittagong      Bogra   42      January   Week1   2007
72       Watch            M7            Jessore      Bogra   112      January   Week1   2007
133       Freeze            M5            Mymensingh      Bogra   33      January   Week1   2007
134       RAM            M6            Mymensingh      Bogra   114      January   Week1   2007
74       Car            M7            Rajshahi      Bogra   45      January   Week1   2007
79       Fan            M3            Khulna      Bogra   37      January   Week1   2007
140       Car            M9            Rajshahi      Bogra   73      January   Week1   2007
57       Freeze            M4            Barisal      Bogra   42      January   Week1   2007
91       Watch            M3            Mymensingh      Bogra   108      January   Week1   2007
125       CPU            M4            Chittagong      Bogra   69      January   Week2   2007
106       Fan            M4            Bogra      Bogra   58      January   Week2   2007
19       CPU            M8            Jessore      Bogra   55      January   Week2   2007
101       Freeze            M6            Rangpur      Bogra   84      January   Week2   2007
120       Watch            M9            Mymensingh      Bogra   75      January   Week2   2007
172       Watch            M4            Bogra      Bogra   59      January   Week2   2007
60       Fan            M6            Mymensingh      Bogra   92      January   Week2   2007
106       Fan            M4            Rangpur      Bogra   32      January   Week2   2007
140       Car            M9            Rajshahi      Bogra   96      January   Week2   2007
181       Car            M4            Rajshahi      Bogra   89      January   Week2   2007
134       RAM            M6            Rajshahi      Bogra   60      February   Week1   2007
71       TV            M3            Jessore      Bogra   82      February   Week1   2007
172       Watch            M4            Barisal      Bogra   72      February   Week1   2007
54       Computer            M9            Barisal      Bogra   60      February   Week1   2007
36       Motor            M8            Sylhet      Bogra   66      February   Week1   2007
139       CPU            M5            Bogra      Bogra   64      February   Week1   2007
91       Watch            M3            Barisal      Bogra   47      February   Week1   2007
82       CPU            M9            Chittagong      Bogra   56      February   Week1   2007
177       Computer            M0            Rangpur      Bogra   91      February   Week1   2007
49       Mobile            M0            Dhaka      Bogra   79      February   Week1   2007
103       Car            M8            Mymensingh      Bogra   36      February   Week2   2007
116       Motor            M0            Sylhet      Bogra   92      February   Week2   2007
154       Motor            M1            Dhaka      Bogra   51      February   Week2   2007
70       Freeze            M0            Mymensingh      Bogra   63      February   Week2   2007
140       Car            M9            Dhaka      Bogra   57      February   Week2   2007
162       Freeze            M9            Rajshahi      Bogra   29      February   Week2   2007
188       CPU            M6            Khulna      Bogra   98      February   Week2   2007
81       Watch            M6            Barisal      Bogra   60      February   Week2   2007
116       Motor            M0            Jessore      Bogra   96      February   Week2   2007
72       Watch            M7            Sylhet      Bogra   24      February   Week2   2007
72       Watch            M7            Sylhet      Bogra   88      February   Week3   2007
145       TV            M0            Barisal      Bogra   77      February   Week3   2007
37       Motor            M9            Chittagong      Bogra   78      February   Week3   2007
127       Motor            M5            Rangpur      Bogra   103      February   Week3   2007
103       Car            M8            Rangpur      Bogra   44      February   Week3   2007
91       Watch            M3            Barisal      Bogra   64      February   Week3   2007
138       Motor            M6            Mymensingh      Bogra   95      February   Week3   2007
88       Fan            M1            Rangpur      Bogra   34      February   Week3   2007
140       Car            M9            Khulna      Bogra   31      February   Week3   2007
120       Watch            M9            Khulna      Bogra   35      February   Week3   2007
80       Car            M3            Rajshahi      Bogra   79      February   Week4   2007
114       TV            M4            Rajshahi      Bogra   119      February   Week4   2007
38       Fan            M5            Rangpur      Bogra   113      February   Week4   2007
88       Fan            M1            Rangpur      Bogra   111      February   Week4   2007
92       Watch            M1            Bogra      Bogra   61      February   Week4   2007
62       CPU            M1            Bogra      Bogra   60      February   Week4   2007
118       RAM            M9            Rangpur      Bogra   90      February   Week4   2007
49       Mobile            M0            Mymensingh      Bogra   48      February   Week4   2007
26       Fan            M0            Dhaka      Bogra   110      February   Week4   2007
74       Car            M7            Rangpur      Bogra   35      February   Week4   2007
62       CPU            M1            Chittagong      Bogra   34      February   Week1   2007
116       Motor            M0            Rangpur      Bogra   38      February   Week1   2007
91       Watch            M3            Dhaka      Bogra   34      February   Week1   2007
145       TV            M0            Jessore      Bogra   118      February   Week1   2007
118       RAM            M9            Barisal      Bogra   84      February   Week1   2007
134       RAM            M6            Dhaka      Bogra   112      February   Week1   2007
92       Watch            M1            Rangpur      Bogra   109      February   Week1   2007
107       RAM            M3            Rangpur      Bogra   26      February   Week1   2007
112       CPU            M0            Bogra      Bogra   54      February   Week1   2007
100       TV            M8            Sylhet      Bogra   67      February   Week1   2007
182       CPU            M2            Mymensingh      Bogra   47      February   Week2   2007
88       Fan            M1            Bogra      Bogra   106      February   Week2   2007
156       Freeze            M8            Barisal      Bogra   90      February   Week2   2007
111       Car            M0            Chittagong      Bogra   39      February   Week2   2007
112       CPU            M0            Dhaka      Bogra   28      February   Week2   2007
134       RAM            M6            Chittagong      Bogra   116      February   Week2   2007
19       CPU            M8            Rangpur      Bogra   73      February   Week2   2007
99       Fan            M7            Rangpur      Bogra   68      February   Week2   2007
72       Watch            M7            Rangpur      Bogra   71      February   Week2   2007
82       CPU            M9            Chittagong      Bogra   110      February   Week2   2007
162       Freeze            M9            Mymensingh      Bogra   27      February   Week3   2007
139       CPU            M5            Rajshahi      Bogra   94      February   Week3   2007
162       Freeze            M9            Sylhet      Bogra   33      February   Week3   2007
62       CPU            M1            Jessore      Bogra   81      February   Week3   2007
99       Fan            M7            Chittagong      Bogra   71      February   Week3   2007
114       TV            M4            Mymensingh      Bogra   28      February   Week3   2007
106       Fan            M4            Dhaka      Bogra   70      February   Week3   2007
194       Car            M6            Bogra      Bogra   93      February   Week3   2007
37       Motor            M9            Mymensingh      Bogra   103      February   Week3   2007
172       Watch            M4            Rangpur      Bogra   88      February   Week3   2007
71       TV            M3            Barisal      Bogra   78      February   Week4   2007
177       Computer            M0            Chittagong      Bogra   46      February   Week4   2007
82       CPU            M9            Barisal      Bogra   81      February   Week4   2007
139       CPU            M5            Mymensingh      Bogra   20      February   Week4   2007
119       Mobile            M9            Jessore      Bogra   20      February   Week4   2007
42       RAM            M5            Mymensingh      Bogra   107      February   Week4   2007
152       RAM            M2            Rajshahi      Bogra   106      February   Week4   2007
57       Freeze            M4            Barisal      Bogra   49      February   Week4   2007
99       Fan            M7            Rajshahi      Bogra   66      February   Week4   2007
99       Fan            M7            Jessore      Bogra   86      February   Week4   2007
156       Freeze            M8            Dhaka      Bogra   113      February   Week1   2007
134       RAM            M6            Barisal      Bogra   63      February   Week1   2007
37       Motor            M9            Khulna      Bogra   82      February   Week1   2007
154       Motor            M1            Bogra      Bogra   53      February   Week1   2007
37       Motor            M9            Barisal      Bogra   44      February   Week1   2007
36       Motor            M8            Chittagong      Bogra   89      February   Week1   2007
89       TV            M7            Bogra      Bogra   113      February   Week1   2007
82       CPU            M9            Rangpur      Bogra   57      February   Week1   2007
54       Computer            M9            Bogra      Bogra   38      February   Week1   2007
145       TV            M0            Barisal      Bogra   61      February   Week1   2007
87       Mobile            M3            Sylhet      Bogra   99      February   Week2   2007
62       CPU            M1            Bogra      Bogra   46      February   Week2   2007
120       Watch            M9            Khulna      Bogra   106      February   Week2   2007
99       Fan            M7            Mymensingh      Bogra   41      February   Week2   2007
125       CPU            M4            Chittagong      Bogra   55      February   Week2   2007
127       Motor            M5            Jessore      Bogra   71      February   Week2   2007
104       Computer            M7            Rangpur      Bogra   65      February   Week2   2007
72       Watch            M7            Mymensingh      Bogra   34      February   Week2   2007
88       Fan            M1            Sylhet      Bogra   31      February   Week2   2007
107       RAM            M3            Bogra      Bogra   54      February   Week2   2007
125       CPU            M4            Rajshahi      Bogra   31      March   Week1   2007
99       Fan            M7            Chittagong      Bogra   80      March   Week1   2007
103       Car            M8            Sylhet      Bogra   113      March   Week1   2007
140       Car            M9            Mymensingh      Bogra   117      March   Week1   2007
57       Freeze            M4            Chittagong      Bogra   27      March   Week1   2007
125       CPU            M4            Dhaka      Bogra   54      March   Week1   2007
52       Fan            M2            Jessore      Bogra   22      March   Week1   2007
149       RAM            M1            Sylhet      Bogra   57      March   Week1   2007
70       Freeze            M0            Bogra      Bogra   43      March   Week1   2007
134       RAM            M6            Khulna      Bogra   70      March   Week1   2007
72       Watch            M7            Rangpur      Bogra   86      March   Week2   2007
54       Computer            M9            Chittagong      Bogra   38      March   Week2   2007
99       Fan            M7            Sylhet      Bogra   105      March   Week2   2007
36       Motor            M8            Sylhet      Bogra   42      March   Week2   2007
87       Mobile            M3            Khulna      Bogra   33      March   Week2   2007
92       Watch            M1            Barisal      Bogra   91      March   Week2   2007
88       Fan            M1            Mymensingh      Bogra   46      March   Week2   2007
70       Freeze            M0            Mymensingh      Bogra   23      March   Week2   2007
107       RAM            M3            Rangpur      Bogra   62      March   Week2   2007
72       Watch            M7            Khulna      Bogra   58      March   Week2   2007
156       Freeze            M8            Bogra      Bogra   98      March   Week3   2007
87       Mobile            M3            Chittagong      Bogra   101      March   Week3   2007
134       RAM            M6            Bogra      Bogra   75      March   Week3   2007
107       RAM            M3            Mymensingh      Bogra   41      March   Week3   2007
42       RAM            M5            Barisal      Bogra   33      March   Week3   2007
62       CPU            M1            Bogra      Bogra   36      March   Week3   2007
127       Motor            M5            Rangpur      Bogra   42      March   Week3   2007
127       Motor            M5            Jessore      Bogra   85      March   Week3   2007
133       Freeze            M5            Rangpur      Bogra   55      March   Week3   2007
172       Watch            M4            Barisal      Bogra   87      March   Week3   2007
59       Motor            M2            Barisal      Bogra   72      March   Week4   2007
99       Fan            M7            Mymensingh      Bogra   102      March   Week4   2007
164       Mobile            M4            Mymensingh      Bogra   107      March   Week4   2007
70       Freeze            M0            Chittagong      Bogra   119      March   Week4   2007
127       Motor            M5            Jessore      Bogra   77      March   Week4   2007
88       Fan            M1            Bogra      Bogra   44      March   Week4   2007
38       Fan            M5            Jessore      Bogra   102      March   Week4   2007
182       CPU            M2            Dhaka      Bogra   68      March   Week4   2007
103       Car            M8            Jessore      Bogra   36      March   Week4   2007
36       Motor            M8            Jessore      Bogra   62      March   Week4   2007
81       Watch            M6            Jessore      Bogra   24      March   Week1   2007
162       Freeze            M9            Rajshahi      Bogra   70      March   Week1   2007
71       TV            M3            Dhaka      Bogra   103      March   Week1   2007
106       Fan            M4            Jessore      Bogra   78      March   Week1   2007
140       Car            M9            Barisal      Bogra   25      March   Week1   2007
19       CPU            M8            Barisal      Bogra   101      March   Week1   2007
188       CPU            M6            Rajshahi      Bogra   96      March   Week1   2007
81       Watch            M6            Chittagong      Bogra   118      March   Week1   2007
134       RAM            M6            Sylhet      Bogra   60      March   Week1   2007
99       Fan            M7            Rangpur      Bogra   69      March   Week1   2007
104       Computer            M7            Bogra      Bogra   72      March   Week2   2007
107       RAM            M3            Barisal      Bogra   111      March   Week2   2007
77       CPU            M3            Chittagong      Bogra   87      March   Week2   2007
82       CPU            M9            Khulna      Bogra   21      March   Week2   2007
156       Freeze            M8            Rangpur      Bogra   59      March   Week2   2007
125       CPU            M4            Jessore      Bogra   89      March   Week2   2007
106       Fan            M4            Mymensingh      Bogra   68      March   Week2   2007
71       TV            M3            Jessore      Bogra   42      March   Week2   2007
42       RAM            M5            Bogra      Bogra   20      March   Week2   2007
87       Mobile            M3            Chittagong      Bogra   51      March   Week2   2007
19       CPU            M8            Barisal      Bogra   36      March   Week3   2007
77       CPU            M3            Sylhet      Bogra   84      March   Week3   2007
181       Car            M4            Sylhet      Bogra   21      March   Week3   2007
164       Mobile            M4            Rajshahi      Bogra   39      March   Week3   2007
87       Mobile            M3            Mymensingh      Bogra   23      March   Week3   2007
99       Fan            M7            Rangpur      Bogra   103      March   Week3   2007
88       Fan            M1            Rangpur      Bogra   32      March   Week3   2007
107       RAM            M3            Barisal      Bogra   91      March   Week3   2007
157       RAM            M8            Mymensingh      Bogra   37      March   Week3   2007
42       RAM            M5            Sylhet      Bogra   27      March   Week3   2007
138       Motor            M6            Rangpur      Bogra   58      March   Week4   2007
43       TV            M6            Mymensingh      Bogra   52      March   Week4   2007
26       Fan            M0            Mymensingh      Bogra   81      March   Week4   2007
72       Watch            M7            Sylhet      Bogra   115      March   Week4   2007
54       Computer            M9            Bogra      Bogra   43      March   Week4   2007
133       Freeze            M5            Bogra      Bogra   70      March   Week4   2007
42       RAM            M5            Dhaka      Bogra   69      March   Week4   2007
92       Watch            M1            Mymensingh      Bogra   37      March   Week4   2007
19       CPU            M8            Rajshahi      Bogra   31      March   Week4   2007
125       CPU            M4            Rangpur      Bogra   28      March   Week4   2007
72       Watch            M7            Rangpur      Bogra   47      March   Week1   2007
52       Fan            M2            Rangpur      Bogra   91      March   Week1   2007
172       Watch            M4            Jessore      Bogra   105      March   Week1   2007
134       RAM            M6            Rangpur      Bogra   48      March   Week1   2007
37       Motor            M9            Rajshahi      Bogra   32      March   Week1   2007
100       TV            M8            Jessore      Bogra   49      March   Week1   2007
99       Fan            M7            Bogra      Bogra   51      March   Week1   2007
80       Car            M3            Dhaka      Bogra   52      March   Week1   2007
145       TV            M0            Chittagong      Bogra   43      March   Week1   2007
88       Fan            M1            Dhaka      Bogra   57      March   Week1   2007
162       Freeze            M9            Chittagong      Bogra   87      March   Week2   2007
74       Car            M7            Mymensingh      Bogra   33      March   Week2   2007
181       Car            M4            Rajshahi      Bogra   106      March   Week2   2007
91       Watch            M3            Jessore      Bogra   22      March   Week2   2007
77       CPU            M3            Mymensingh      Bogra   42      March   Week2   2007
116       Motor            M0            Rajshahi      Bogra   55      March   Week2   2007
99       Fan            M7            Dhaka      Bogra   79      March   Week2   2007
100       TV            M8            Dhaka      Bogra   27      March   Week2   2007
125       CPU            M4            Khulna      Bogra   76      March   Week2   2007
177       Computer            M0            Mymensingh      Bogra   118      March   Week2   2007
19       CPU            M8            Mymensingh      Bogra   23      April   Week1   2007
72       Watch            M7            Mymensingh      Bogra   57      April   Week1   2007
146       Fan            M9            Sylhet      Bogra   84      April   Week1   2007
132       Watch            M8            Bogra      Bogra   89      April   Week1   2007
140       Car            M9            Barisal      Bogra   74      April   Week1   2007
140       Car            M9            Barisal      Bogra   32      April   Week1   2007
120       Watch            M9            Bogra      Bogra   103      April   Week1   2007
107       RAM            M3            Jessore      Bogra   42      April   Week1   2007
120       Watch            M9            Sylhet      Bogra   32      April   Week1   2007
159       Mobile            M8            Jessore      Bogra   76      April   Week1   2007
154       Motor            M1            Barisal      Bogra   70      April   Week2   2007
140       Car            M9            Sylhet      Bogra   119      April   Week2   2007
91       Watch            M3            Rajshahi      Bogra   69      April   Week2   2007
107       RAM            M3            Chittagong      Bogra   48      April   Week2   2007
138       Motor            M6            Chittagong      Bogra   91      April   Week2   2007
154       Motor            M1            Jessore      Bogra   65      April   Week2   2007
72       Watch            M7            Dhaka      Bogra   28      April   Week2   2007
92       Watch            M1            Barisal      Bogra   82      April   Week2   2007
107       RAM            M3            Jessore      Bogra   43      April   Week2   2007
133       Freeze            M5            Sylhet      Bogra   28      April   Week2   2007
182       CPU            M2            Mymensingh      Bogra   87      April   Week3   2007
138       Motor            M6            Barisal      Bogra   108      April   Week3   2007
140       Car            M9            Sylhet      Bogra   105      April   Week3   2007
127       Motor            M5            Rajshahi      Bogra   27      April   Week3   2007
70       Freeze            M0            Jessore      Bogra   28      April   Week3   2007
80       Car            M3            Mymensingh      Bogra   63      April   Week3   2007
37       Motor            M9            Jessore      Bogra   63      April   Week3   2007
185       Car            M5            Rajshahi      Bogra   84      April   Week3   2007
194       Car            M6            Barisal      Bogra   67      April   Week3   2007
99       Fan            M7            Chittagong      Bogra   87      April   Week3   2007
72       Watch            M7            Rangpur      Bogra   35      April   Week4   2007
80       Car            M3            Barisal      Bogra   89      April   Week4   2007
95       CPU            M7            Bogra      Bogra   94      April   Week4   2007
26       Fan            M0            Mymensingh      Bogra   23      April   Week4   2007
37       Motor            M9            Sylhet      Bogra   42      April   Week4   2007
42       RAM            M5            Chittagong      Bogra   103      April   Week4   2007
54       Computer            M9            Rangpur      Bogra   100      April   Week4   2007
139       CPU            M5            Khulna      Bogra   117      April   Week4   2007
43       TV            M6            Barisal      Bogra   112      April   Week4   2007
125       CPU            M4            Mymensingh      Bogra   90      April   Week4   2007
77       CPU            M3            Barisal      Bogra   44      April   Week1   2007
72       Watch            M7            Rajshahi      Bogra   83      April   Week1   2007
133       Freeze            M5            Mymensingh      Bogra   73      April   Week1   2007
164       Mobile            M4            Dhaka      Bogra   118      April   Week1   2007
116       Motor            M0            Rangpur      Bogra   23      April   Week1   2007
127       Motor            M5            Sylhet      Bogra   74      April   Week1   2007
100       TV            M8            Mymensingh      Bogra   56      April   Week1   2007
72       Watch            M7            Rangpur      Bogra   22      April   Week1   2007
149       RAM            M1            Barisal      Bogra   105      April   Week1   2007
63       Freeze            M1            Chittagong      Bogra   46      April   Week1   2007
164       Mobile            M4            Bogra      Bogra   99      April   Week2   2007
38       Fan            M5            Chittagong      Bogra   111      April   Week2   2007
127       Motor            M5            Bogra      Bogra   94      April   Week2   2007
37       Motor            M9            Jessore      Bogra   91      April   Week2   2007
99       Fan            M7            Chittagong      Bogra   72      April   Week2   2007
89       TV            M7            Jessore      Bogra   61      April   Week2   2007
182       CPU            M2            Khulna      Bogra   29      April   Week2   2007
26       Fan            M0            Jessore      Bogra   68      April   Week2   2007
49       Mobile            M0            Rangpur      Bogra   48      April   Week2   2007
132       Watch            M8            Khulna      Bogra   52      April   Week2   2007
140       Car            M9            Barisal      Bogra   52      April   Week3   2007
138       Motor            M6            Khulna      Bogra   111      April   Week3   2007
127       Motor            M5            Mymensingh      Bogra   106      April   Week3   2007
157       RAM            M8            Khulna      Bogra   32      April   Week3   2007
134       RAM            M6            Chittagong      Bogra   77      April   Week3   2007
79       Fan            M3            Dhaka      Bogra   86      April   Week3   2007
118       RAM            M9            Barisal      Bogra   96      April   Week3   2007
95       CPU            M7            Sylhet      Bogra   89      April   Week3   2007
99       Fan            M7            Barisal      Bogra   21      April   Week3   2007
138       Motor            M6            Rangpur      Bogra   98      April   Week3   2007
150       Watch            M0            Barisal      Bogra   32      April   Week4   2007
106       Fan            M4            Dhaka      Bogra   110      April   Week4   2007
112       CPU            M0            Mymensingh      Bogra   100      April   Week4   2007
60       Fan            M6            Khulna      Bogra   86      April   Week4   2007
133       Freeze            M5            Mymensingh      Bogra   104      April   Week4   2007
134       RAM            M6            Mymensingh      Bogra   20      April   Week4   2007
72       Watch            M7            Mymensingh      Bogra   37      April   Week4   2007
51       Car            M2            Barisal      Bogra   96      April   Week4   2007
107       RAM            M3            Mymensingh      Bogra   34      April   Week4   2007
82       CPU            M9            Mymensingh      Bogra   51      April   Week4   2007
106       Fan            M4            Bogra      Bogra   94      April   Week1   2007
101       Freeze            M6            Jessore      Bogra   74      April   Week1   2007
81       Watch            M6            Jessore      Bogra   82      April   Week1   2007
103       Car            M8            Sylhet      Bogra   99      April   Week1   2007
87       Mobile            M3            Sylhet      Bogra   61      April   Week1   2007
189       Fan            M8            Chittagong      Bogra   70      April   Week1   2007
133       Freeze            M5            Mymensingh      Bogra   46      April   Week1   2007
92       Watch            M1            Rajshahi      Bogra   100      April   Week1   2007
145       TV            M0            Barisal      Bogra   39      April   Week1   2007
26       Fan            M0            Mymensingh      Bogra   70      April   Week1   2007
51       Car            M2            Barisal      Bogra   25      April   Week2   2007
118       RAM            M9            Khulna      Bogra   89      April   Week2   2007
159       Mobile            M8            Chittagong      Bogra   96      April   Week2   2007
118       RAM            M9            Mymensingh      Bogra   62      April   Week2   2007
182       CPU            M2            Chittagong      Bogra   54      April   Week2   2007
74       Car            M7            Rangpur      Bogra   111      April   Week2   2007
162       Freeze            M9            Jessore      Bogra   36      April   Week2   2007
19       CPU            M8            Rajshahi      Bogra   76      April   Week2   2007
139       CPU            M5            Sylhet      Bogra   74      April   Week2   2007
99       Fan            M7            Mymensingh      Bogra   42      April   Week2   2007
156       Freeze            M8            Bogra      Bogra   98      May   Week1   2007
106       Fan            M4            Dhaka      Bogra   39      May   Week1   2007
26       Fan            M0            Barisal      Bogra   61      May   Week1   2007
70       Freeze            M0            Dhaka      Bogra   30      May   Week1   2007
107       RAM            M3            Jessore      Bogra   63      May   Week1   2007
62       CPU            M1            Rangpur      Bogra   50      May   Week1   2007
134       RAM            M6            Chittagong      Bogra   59      May   Week1   2007
133       Freeze            M5            Barisal      Bogra   91      May   Week1   2007
87       Mobile            M3            Mymensingh      Bogra   75      May   Week1   2007
19       CPU            M8            Barisal      Bogra   110      May   Week1   2007
162       Freeze            M9            Barisal      Bogra   83      May   Week2   2007
70       Freeze            M0            Khulna      Bogra   80      May   Week2   2007
127       Motor            M5            Jessore      Bogra   86      May   Week2   2007
63       Freeze            M1            Chittagong      Bogra   59      May   Week2   2007
19       CPU            M8            Jessore      Bogra   54      May   Week2   2007
111       Car            M0            Chittagong      Bogra   118      May   Week2   2007
119       Mobile            M9            Jessore      Bogra   116      May   Week2   2007
138       Motor            M6            Rajshahi      Bogra   72      May   Week2   2007
139       CPU            M5            Mymensingh      Bogra   93      May   Week2   2007
95       CPU            M7            Jessore      Bogra   102      May   Week2   2007
101       Freeze            M6            Jessore      Bogra   21      May   Week3   2007
125       CPU            M4            Barisal      Bogra   27      May   Week3   2007
92       Watch            M1            Bogra      Bogra   89      May   Week3   2007
87       Mobile            M3            Barisal      Bogra   25      May   Week3   2007
107       RAM            M3            Jessore      Bogra   60      May   Week3   2007
118       RAM            M9            Sylhet      Bogra   70      May   Week3   2007
51       Car            M2            Rangpur      Bogra   105      May   Week3   2007
177       Computer            M0            Barisal      Bogra   22      May   Week3   2007
70       Freeze            M0            Mymensingh      Bogra   30      May   Week3   2007
159       Mobile            M8            Mymensingh      Bogra   22      May   Week3   2007
134       RAM            M6            Barisal      Bogra   40      May   Week4   2007
52       Fan            M2            Dhaka      Bogra   28      May   Week4   2007
172       Watch            M4            Jessore      Bogra   63      May   Week4   2007
43       TV            M6            Jessore      Bogra   35      May   Week4   2007
36       Motor            M8            Bogra      Bogra   25      May   Week4   2007
150       Watch            M0            Dhaka      Bogra   114      May   Week4   2007
112       CPU            M0            Bogra      Bogra   63      May   Week4   2007
99       Fan            M7            Barisal      Bogra   33      May   Week4   2007
134       RAM            M6            Rangpur      Bogra   65      May   Week4   2007
138       Motor            M6            Jessore      Bogra   57      May   Week4   2007
106       Fan            M4            Rajshahi      Bogra   66      May   Week1   2007
100       TV            M8            Bogra      Bogra   112      May   Week1   2007
72       Watch            M7            Rajshahi      Bogra   68      May   Week1   2007
138       Motor            M6            Rajshahi      Bogra   37      May   Week1   2007
116       Motor            M0            Mymensingh      Bogra   115      May   Week1   2007
106       Fan            M4            Jessore      Bogra   31      May   Week1   2007
120       Watch            M9            Sylhet      Bogra   78      May   Week1   2007
72       Watch            M7            Bogra      Bogra   34      May   Week1   2007
51       Car            M2            Sylhet      Bogra   23      May   Week1   2007
107       RAM            M3            Sylhet      Bogra   27      May   Week1   2007
82       CPU            M9            Mymensingh      Bogra   107      May   Week2   2007
